Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
José Abreu\abreujo02,159,693,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,119,319,24,13,0,10,4,32.38888889
Freddie Freeman*\freemfr01,158,692,597,113,176,34,2,38,121,6,3,87,127,0.295,0.389,0.549,0.938,136,328,17,6,0,2,11,37.0617284
Alex Bregman\bregmal01,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328,9,9,0,8,2,39.48148148
Carlos Santana#\santaca01,158,686,573,110,161,30,1,34,93,4,0,108,108,0.281,0.397,0.515,0.911,136,295,13,3,0,2,12,33.16049383
Bryce Harper*\harpebr03,157,682,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,125,292,10,6,0,4,11,33.91975309
Paul Goldschmidt\goldspa01,161,682,597,97,155,25,1,34,97,3,1,78,166,0.26,0.346,0.476,0.821,113,284,11,2,0,3,2,33.79012346
Jorge Soler\solerjo01,162,679,589,95,156,33,1,48,117,3,1,73,178,0.265,0.354,0.569,0.922,138,335,16,10,0,4,3,48
Trey Mancini\mancitr01,154,679,602,106,175,38,2,35,97,1,0,63,143,0.291,0.364,0.535,0.899,135,322,22,9,0,5,3,33.27160494
Starlin Castro\castrst01,162,676,636,68,172,31,4,22,86,2,2,28,111,0.27,0.3,0.436,0.736,94,277,23,3,0,9,2,22
Matt Chapman\chapmma01,156,670,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,126,295,12,11,0,3,0,34.66666667
